citycode,cityname,cityname_kn,matomeareacode,matomeareaname,matomeareaname_kn,firstareacode,firstareaname,firstareaname_kn,prefcode,prefname,prefname_kn
0160800,様似町,さまにちょう,015023,日高東部,ひだかとうぶ,015020,日高地方,ひだかちほう,015020,日高地方,ひだかちほう
0160900,えりも町,えりもちょう,015023,日高東部,ひだかとうぶ,015020,日高地方,ひだかちほう,015020,日高地方,ひだかちほう
0161000,新ひだか町,しんひだかちょう,015022,日高中部,ひだかちゅうぶ,015020,日高地方,ひだかちほう,015020,日高地方,ひだかちほう
0163100,音更町,おとふけちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163200,士幌町,しほろちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163300,上士幌町,かみしほろちょう,014031,十勝北部,とかちほくぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163400,鹿追町,しかおいちょう,014031,十勝北部,とかちほくぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163500,新得町,しんとくちょう,014031,十勝北部,とかちほくぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163600,清水町,しみずちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163700,芽室町,めむろちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163800,中札内村,なかさつないむら,014033,十勝南部,とかちなんぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0163900,更別村,さらべつむら,014033,十勝南部,とかちなんぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164100,大樹町,たいきちょう,014033,十勝南部,とかちなんぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164200,広尾町,ひろおちょう,014033,十勝南部,とかちなんぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164300,幕別町,まくべつちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164400,池田町,いけだちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164500,豊頃町,とよころちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164600,本別町,ほんべつちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164700,足寄町,あしょろちょう,014031,十勝北部,とかちほくぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164800,陸別町,りくべつちょう,014031,十勝北部,とかちほくぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0164900,浦幌町,うらほろちょう,014032,十勝中部,とかちちゅうぶ,014030,十勝地方,とかちちほう,014030,十勝地方,とかちちほう
0166100,釧路町,くしろちょう,014024,釧路南西部,くしろなんせいぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0166200,厚岸町,あっけしちょう,014023,釧路南東部,くしろなんとうぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0166300,浜中町,はまなかちょう,014023,釧路南東部,くしろなんとうぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0166400,標茶町,しべちゃちょう,014022,釧路中部,くしろちゅうぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0166500,弟子屈町,てしかがちょう,014021,釧路北部,くしろほくぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0166700,鶴居村,つるいむら,014022,釧路中部,くしろちゅうぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0166800,白糠町,しらぬかちょう,014024,釧路南西部,くしろなんせいぶ,014020,釧路地方,くしろちほう,014020,釧路地方,くしろちほう
0169100,別海町,べつかいちょう,014012,根室中部,ねむろちゅうぶ,014010,根室地方,ねむろちほう,014010,根室地方,ねむろちほう
0169200,中標津町,なかしべつちょう,014011,根室北部,ねむろほくぶ,014010,根室地方,ねむろちほう,014010,根室地方,ねむろちほう
0169300,標津町,しべつちょう,014011,根室北部,ねむろほくぶ,014010,根室地方,ねむろちほう,014010,根室地方,ねむろちほう
0169400,羅臼町,らうすちょう,014011,根室北部,ねむろほくぶ,014010,根室地方,ねむろちほう,014010,根室地方,ねむろちほう
0220100,青森市,あおもりし,020011,東青津軽,とうせいつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0220200,弘前市,ひろさきし,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0220300,八戸市,はちのへし,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0220400,黒石市,くろいしし,020014,中南津軽,ちゅうなんつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0220500,五所川原市,ごしょがわらし,020012,北五津軽,きたごつがる,020010,津軽,つがる,020000,青森県,あおもりけん
0220600,十和田市,とわだし,020032,上北,かみきた,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0220700,三沢市,みさわし,020031,三八,さんぱち,020030,三八上北,さんぱちかみきた,020000,青森県,あおもりけん
0220800,むつ市,むつし,020020,下北,しもきた,020020,下北,しもきた,020000,青森県,あおもりけん
0220900,つがる市,つがるし,020013,西津軽,にしつがる,020010,津軽,つがる,020000,青森県,あおもりけん
